epoch,loss,mse,val_loss,val_mse
0,0.8189873359884144,0.81898767,0.3364773106116515,0.33873114
1,0.10089225394517791,0.100892246,0.17465247156528327,0.17667332
2,0.07247606488569584,0.07247604,0.07007209734561351,0.07175625
3,0.060436248002163954,0.060436238,0.07043152610556437,0.07213343
4,0.06077213782261787,0.060772132,0.07653412280174401,0.07834474
5,0.052721134551383005,0.05272112,0.07650372772835769,0.078228675
6,0.05018014933223825,0.05018016,0.06957583587903243,0.07093084
7,0.04984318608819469,0.049843185,0.08704918006864878,0.08870397
8,0.04624493792909,0.046244938,0.12107309355185582,0.12285817
9,0.0423922447139239,0.042392246,0.0923555726901843,0.09365921
10,0.04321273747266008,0.043212738,0.09467126042223893,0.095838524
11,0.041211510771932004,0.04121151,0.08298388395745021,0.08401346
12,0.039315816445797784,0.039315827,0.09688841565870322,0.09809285
13,0.03985460506778152,0.039854586,0.09201187439835988,0.09329838
14,0.03749180702099763,0.037491824,0.09647824400319503,0.09777128
15,0.0392132377887935,0.03921324,0.0941402710114534,0.09540554
16,0.037727716117619596,0.03772772,0.09005721859060802,0.0912757
