epoch,loss,mse,val_loss,val_mse
0,0.40463807549517844,0.4046381,0.16572627912347132,0.16743544
1,0.026699151846345404,0.026699156,0.16185777777662644,0.1635237
2,0.03335152887821348,0.033351526,0.1474388986825943,0.14894764
3,0.019546310187029313,0.019546311,0.15083788650540206,0.15238664
4,0.016251448349302533,0.016251447,0.1475088155040374,0.149039
5,0.019027207051012483,0.019027203,0.1486574078981693,0.15018588
6,0.012879805676920588,0.012879805,0.1649619140304052,0.16665521
7,0.014978807237624563,0.014978804,0.18298354458350402,0.18484934
8,0.01202552050278734,0.012025521,0.194594100690805,0.19657014
9,0.010302739157843657,0.010302743,0.21030572744516227,0.2124181
10,0.010365725435420635,0.010365728,0.21838869784887022,0.22058019
11,0.009485664611858452,0.009485667,0.2506681141945032,0.2531089
12,0.008658236532231299,0.008658238,0.28795914810437423,0.29066014
13,0.009537719836149757,0.009537718,0.23686355696274683,0.23919599
14,0.008170742781579884,0.008170742,0.2654444913451488,0.26799202
15,0.00767961266455489,0.007679614,0.2513106677394647,0.25374877
16,0.00775697494327906,0.007756975,0.23448878182814673,0.23679098
17,0.007900744730145813,0.007900745,0.2685046906654651,0.2710536
18,0.007730655333008903,0.007730656,0.24364936752961233,0.24602906
19,0.005901801166576121,0.0059018005,0.23114665483052915,0.23343721
20,0.007025024255655343,0.0070250235,0.3052392481611325,0.308043
21,0.006559360619887747,0.0065593612,0.26934980142575043,0.27191392
22,0.005913282866679936,0.005913285,0.24804268376185343,0.2504575
23,0.0054306720571883765,0.0054306714,0.22763121471955225,0.22988744
24,0.006308644779776344,0.006308643,0.2141735525085376,0.21633255
25,0.0061748494080732545,0.0061748484,0.2258785143494606,0.22812599
26,0.005734665738333393,0.0057346667,0.21692118277916542,0.21911019
27,0.0048386262911198075,0.0048386264,0.19641468158135048,0.1984144
28,0.004868200325180708,0.0048681977,0.22504765368424928,0.22728457
29,0.005504040586736965,0.005504042,0.17916056657066712,0.18100712
30,0.004838498929052272,0.004838498,0.1454348458120456,0.14693435
31,0.004831545036251993,0.004831545,0.2152421738092716,0.21739294
32,0.004687216133305785,0.0046872166,0.16627684951974794,0.16799092
33,0.004299406971925759,0.004299408,0.18931868901619545,0.19125088
34,0.0038433631750167895,0.003843363,0.17224768577859953,0.17402409
35,0.004226080084487008,0.00422608,0.1334283363360625,0.13478713
36,0.004032591552057101,0.00403259,0.17474976010047472,0.17654543
37,0.0037132086009870535,0.0037132085,0.1765218898653984,0.17833747
38,0.00392516229970486,0.003925163,0.30847735702991486,0.31129217
39,0.0035332534235087676,0.0035332534,0.31605255202605176,0.31890938
40,0.004353635597286074,0.0043536364,0.3053313998075632,0.30811852
41,0.004209007069345658,0.0042090057,0.25668554867689425,0.25914046
42,0.004575105944555829,0.0045751063,0.2416683636032618,0.24401303
43,0.003977677007673898,0.003977677,0.2678384970013912,0.27036723
44,0.004854526415655787,0.004854526,0.20371890698487943,0.20576555
45,0.004095312236407945,0.0040953127,0.2532230122731282,0.25566286
46,0.004643925903047253,0.004643926,0.2340647320334728,0.236364
47,0.0038563431695829596,0.0038563428,0.2119807732793001,0.21410277
48,0.00343651216265918,0.0034365123,0.2689278922401942,0.27146935
49,0.003552669580775894,0.0035526697,0.2566786700716385,0.25914294
